Студия 2кв.м без туалета	Баню не топить, много дров ест	2025-10-14T18:09:47.164Z	Cologne	photo1.jpg	photo2.jpg;photo7.jpg;photo7.jpg;photo6.jpg;photo6.jpg	false	true	2.4	house	8	3	337803	Washer;Towels;Fridge	Dmitry	krutoiperec@mail.ru	photo5.jpg	обычный	629	50.940361	6.958974
Дом с банькой	Дети в подарок при Аренде больше 2 суток	2025-10-14T18:09:47.165Z	Brussels	photo3.jpg	photo6.jpg;photo7.jpg;photo4.jpg;photo2.jpg	false	false	4.8	apartment	5	2	49657	Washer;Towels;Fridge	Anna	superpuper@gmail.com	photo5.jpg	pro	132	48.85861	2.350499
Пентхаус с камином	Соседю любят, когда шумят, в тишине не сидеть	2025-10-13T18:09:47.166Z	Amsterdam	photo2.jpg	photo3.jpg;photo5.jpg;photo6.jpg;photo3.jpg;photo8.jpg	false	true	3.1	hotel	7	4	736592	Washer;Towels;Fridge	Maria	superpuper@gmail.com	photo6.jpg	pro	641	52.372216	4.894168
Отель 5 звёзд Арарат	Соседю любят, когда шумят, в тишине не сидеть	2025-10-13T18:09:47.166Z	Hamburg	photo8.jpg	photo6.jpg;photo2.jpg;photo4.jpg;photo8.jpg	false	true	4.2	house	2	9	63254	Washer;Towels;Fridge	Anna	useruser@rambler.com	photo7.jpg	обычный	148	52.372216	4.894168
Дом с банькой	В подарок с заселением 5 звёзд бутылка Арарата	2025-10-13T18:09:47.166Z	Brussels	photo5.jpg	photo4.jpg;photo2.jpg;photo4.jpg;photo6.jpg	true	true	1.8	apartment	7	4	746072	Washer;Towels;Fridge	Anna	krutoiperec@mail.ru	photo5.jpg	обычный	197	48.85861	2.350499
Отель 5 звёзд Арарат	Соседю любят, когда шумят, в тишине не сидеть	2025-10-12T18:09:47.166Z	Amsterdam	photo7.jpg	photo6.jpg;photo7.jpg;photo3.jpg	true	true	4.6	house	8	6	628567	Baby seat;Washer;Towels;Fridge	Maria	krutoiperec@mail.ru	photo4.jpg	обычный	480	48.85861	2.350499
Пентхаус с камином	Камин не разжигать после 00:00 по пожарной безопасности	2025-10-15T18:09:47.166Z	Hamburg	photo4.jpg	photo6.jpg;photo7.jpg;photo2.jpg;photo5.jpg;photo3.jpg;photo5.jpg	false	false	2.6	room	4	7	168303	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Max	pc-enjoer@example.com	photo3.jpg	pro	427	50.848557	4.350697
Отель 5 звёзд Арарат	Камин не разжигать после 00:00 по пожарной безопасности	2025-10-15T18:09:47.166Z	Amsterdam	photo6.jpg	photo2.jpg;photo6.jpg;photo3.jpg;photo3.jpg;photo4.jpg;photo4.jpg	true	false	3.4	room	4	5	412625	Washer;Towels;Fridge	Sergey	pc-enjoer@example.com	photo1.jpg	pro	264	48.85861	2.350499
Апартаменты с хорошими соседями	Баню не топить, много дров ест	2025-10-17T18:09:47.166Z	Cologne	photo8.jpg	photo7.jpg;photo6.jpg;photo4.jpg;photo6.jpg;photo2.jpg;photo2.jpg	true	false	1.7	room	7	9	537769	Baby seat;Washer;Towels;Fridge	Sergey	afgdhs@outlook.com	photo5.jpg	обычный	208	50.848557	4.350697
Квартира с детьми	Соседю любят, когда шумят, в тишине не сидеть	2025-10-13T18:09:47.166Z	Dusseldorf	photo6.jpg	photo4.jpg;photo3.jpg;photo7.jpg;photo7.jpg;photo4.jpg	true	true	2.8	house	6	9	83640	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	Igor	useruser@rambler.com	photo2.jpg	обычный	643	50.940361	6.958974
